ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11757901,JC349093,07/14/2019 11:10:00 PM,043XX W FULLERTON AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2522,025,31,20,18,1147104,1915605,2019,07/21/2019 04:11:41 PM,41.924387696,-87.734902035,"(41.924387696, -87.734902035)",7,22615,21,439,17,2,6,181
11759323,JC349096,07/14/2019 11:09:00 PM,069XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0321,003,5,69,08B,,,2019,07/21/2019 04:11:41 PM,,,,,,,,,,,
11758297,JC349407,07/14/2019 11:08:00 PM,053XX S PULASKI RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0815,008,23,62,06,1150608,1868922,2019,07/21/2019 04:11:41 PM,41.796216157,-87.723245665,"(41.796216157, -87.723245665)",35,22248,60,792,6,56,13,129
11757975,JC349119,07/14/2019 11:03:00 PM,075XX S JEFFERY BLVD,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0414,004,8,43,08B,1190847,1855361,2019,07/21/2019 04:11:41 PM,41.758125331,-87.576125553,"(41.758125331, -87.576125553)",9,22538,39,188,35,24,19,222
11757890,JC349094,07/14/2019 11:01:00 PM,007XX N LOCKWOOD AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1524,015,37,25,08B,1140892,1904379,2019,07/21/2019 04:11:41 PM,41.893698975,-87.758004498,"(41.893698975, -87.758004498)",11,22216,26,673,45,32,25,67
11764796,JC357317,07/14/2019 11:00:00 PM,048XX S KOLIN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0815,008,14,57,05,,,2019,07/21/2019 04:11:41 PM,,,,,,,,,,,
11758028,JC349134,07/14/2019 11:00:00 PM,075XX S JEFFERY BLVD,0460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0414,004,8,43,08B,1190847,1855354,2019,07/21/2019 04:11:41 PM,41.758106122,-87.576125779,"(41.758106122, -87.576125779)",9,22538,39,188,35,24,19,222
11757964,JC349151,07/14/2019 11:00:00 PM,064XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0724,007,16,68,08B,1169758,1862070,2019,07/21/2019 04:11:41 PM,41.777019055,-87.65321981,"(41.777019055, -87.65321981)",19,21559,66,436,2,11,17,203
11758156,JC349318,07/14/2019 11:00:00 PM,014XX W PENSACOLA AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1912,019,47,6,06,1165607,1928980,2019,07/21/2019 04:11:41 PM,41.960714895,-87.666531924,"(41.960714895, -87.666531924)",13,21186,57,650,18,53,5,8
11757945,JC349104,07/14/2019 11:00:00 PM,051XX S PAYNE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0233,002,4,40,08B,1182175,1870951,2019,07/21/2019 04:11:41 PM,41.801110812,-87.607424852,"(41.801110812, -87.607424852)",1,21192,7,218,10,10,24,124
